id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12tgvo5etvgdp1fo22owxa5ts3hzliup,Juan Fontaine,1 week ago,1492466706714,"Frustrated, degraded, down before you're done
Rejection, depression, can't get what you want
You ask me how I make my way
You ask me everywhere and why
You hang on every word I say
But the truth sounds like a lie

Live to win, 'till you die, 'till the light dies in your eyes
Live to win, take it all, just keep fighting till you fall

Obsessive, compulsive, suffocate your mind
Confusion, delusions, kill your dreams in time
You ask me how I took the pain
Crawled up from my lowest low
Step by step and day by day
'Till there's one last breath to go

Live to win, 'till you die, 'till the light dies in your eyes
Live to win, take it all, just keep fighting till you fall

Day by day, kickin' all the way, I'm not cavin' in
Let another round begin, live to win
Yeah, live, yeah, win

Live to win, 'till you die, 'till the light dies in your eyes
Live to win, take it all, just keep fighting till you fall

Day by day, kickin' all the way, I'm not cavin' in
Let another round begin, live to win
Live to win
Live to win
Yeah, live, yeah, win",0,false,0,,,,,,
z122uh4gxmyzytiy504cdhsrnxzivlgaxuc0k,Peter Katsigiannis,1 week ago,1492466706719,Sounds like generic 80's movie soundtrack music.  Love that guitar he's using.,0,false,0,,,,,,
z13et10hfwuwfl4s422zjrealoqpdt3wy04,esio neto vlogs,3 weeks ago,1491257106722,paul stanley kiss,0,false,0,,,,,,
z23svhii0mi1zhbtvacdp43bo53i1mbypdyyetviks1w03c010c,leticia machado,1 month ago,1490393106724,2017,1,false,0,,,,,,
z135udwb2snhebga404cgfdb4pvxyznzmpk0k,Antoine Pouliot,1 month ago,1490393106727,Tibo inshape quelqu'un?,1,false,0,,,,,,
z13ue5myyxb3uxtzx04chbgbsl2fsbdy3rs0k,Slesh Game,1 month ago,1490393106730,I was there,1,false,0,,,,,,
z13azxtxgzjbuldme22pwrz4jsjuzt3or04,Murad Beybalaev,1 month ago,1490393106732,Did the old Paul even rehearse before this one?,0,false,0,,,,,,
z13wyfjhom3dwdr5g04cixzbovzbvblask00k,sguiloeltino jd,1 month ago,1490393106736,i love it,0,false,0,,,,,,
z13rt34rlmfrt3vpo04cd5dxpkbye5ubtxw0k,The Fish Brothers,2 months ago,1487973906739,Who is here because SkyDoesGaming sing this in almost all af his videos?  #SkyArmy,0,false,0,,,,,,
z13edvz4lsqodn1qi04cdz2pqofehjby20g,Johann Kalemba,2 months ago,1487973906742,me😂,0,false,0,,,,,,
z12oef1rovqtypvwn04cer5rsvqmf1ljuh4,PAVIKELA !,2 months ago,1487973906745,Je me retrouve ici grâce à bob,0,true,1,,,,,,
,,,,,,,,z12oef1rovqtypvwn04cer5rsvqmf1ljuh4.1487464070788860,Hey Hey,2 months ago,1487973906751,PAVIKELA ! Moi grâce à Squeezie.,1
z12fttn4ktf5jly4i04cijpxuxuuul3r5rg0k,1337Se7eN7,2 months ago,1487973906754,LIVE TO WIN,0,false,0,,,,,,
z13of3gaxtvux3gzv04cftpq1nrpwvgiukc0k,Денис Паламарчук,2 months ago,1487973906758,побори его заклинанием щекотка,0,false,0,,,,,,
