id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z132ztxpomuiff4lm230tdjwhvmzjjem2,Morgan Kreisher,1 hour ago,1493067960428,Keith's fiancee and Ned's wife are gorgeous,0,false,0,,,,,,
z13rgbb5xvr0vjgvg22dgtva0kvyhfvo004,MMD Hearxie,1 hour ago,1493067960468,I can relate to eungene so much. His dancing is so me,0,false,0,,,,,,
z12rvtea4ta4ino1r22dgtva0kvyhfvo004,MMD Hearxie,1 hour ago,1493067960477,EUGENE! OMG MAN HES SO WILD,0,false,0,,,,,,
z12iuxwq3zmaftueh22sgrvimzicvfbld,tyblips,2 hours ago,1493064360484,Heels are fun. and also it's great fun for me to be taller than guys lol. don't worry Zach! some girls enjoy short guys. just gotta get use to taller ladies lol,0,false,0,,,,,,
z132xdshmwvzx3mtu223yxiwykfaurbwm04,xella loves lifex,2 hours ago,1493064360492,Eugene liked sexyer then the others,0,false,0,,,,,,
z12bgnoqsrmshj0sq22dyvfoczzsfn4cy,happy hearts,3 hours ago,1493060760500,"Respect ladies 😏😏







impressed",1,false,0,,,,,,
z123fjtpylvjupakr22rh304sn34thxud,sweet meansugar,3 hours ago,1493060760507,"""CAR! PLEASE! FUCKIN PEOPLE!"",",0,false,0,,,,,,
z12bjfghwkf2chi4z04cd3qq0vmgfvogzfw,Sarah Scott,5 hours ago,1493053560516,zach was the only smart one because he got a block heel,0,false,0,,,,,,
z13iixjpvzqowjxq204cgtyojseoxpyyom40k,Phingset,6 hours ago,1493049960526,trust Eugene to choose high heels called dagger pumps...,0,false,0,,,,,,
z12vdzebgwe5ftl2r22stvyq3yfoipxuc,Nick Flix,8 hours ago,1493042760533,who was the chick that Eugene danced with,0,false,0,,,,,,
z13dwjpi5pe5zvyi304cjvciqobuzfxheag,Alanna C,10 hours ago,1493035560541,"""But I make these high heels work""",0,false,0,,,,,,
z13cw3frmwfrhl10p22fizvyxnukhlz3w,Teoni Wynne,11 hours ago,1493031960549,Dose it make my but look good 😊,0,false,0,,,,,,
z130sjmxdmzxepwpf04cjtsaszesc3fzqi4,Cool io,13 hours ago,1493024760558,Keith's fiancé is so lucky,1,false,0,,,,,,
