id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12ftvjgawj4jlrc323lcxxonsy5exqok04,C Wel,1 month ago,1491606984181,just wow,0,false,0,,,,,,
z13ywdxzkpj1hdovo23cfh4ryuikihzxd04,HerasBlog Dot Com,1 month ago,1491606984185,3:20 LOOK AT HIS PUPILS TURN TO LIZARD SLITS. Or just pretend you don't see it and keep pumping Trump.,0,false,0,,,,,,
z13tdtmiatahgvs3m22vhbg4hx3aztx3c,Senada Pasic,1 month ago,1491606984188,same speech he gave during his campaign...,0,false,0,,,,,,
z132ihe4vmqsz3dle22vhbg4hx3aztx3c,Senada Pasic,1 month ago,1491606984191,people change.,0,false,0,,,,,,
z12ahna4gxb1xii0kk2qwlhhpsubtlsc1,See- 3pio,1 month ago,1491606984196,Can't believe the original video was taken down :(,1,false,0,,,,,,
z22bjx1yntigtjovzacdp434uqwmuqira4nmmlgjrbpw03c010c,Greg Crouch,1 month ago,1491606984199,"Mr Trump our prayers are with you and with the Trash News and liberal left,  Like he said He is not a loser. If your not on the Trump Train, We the people will run right over you evil ways.",0,false,0,,,,,,
z230gpag5xvlz3fsqacdp432uckw1ecu1vo2tqosf3tw03c010c,Godsfingertip,1 month ago,1491606984233,"Lmfao before the election all of the comments were supporting Donald Trump, and there was a major like to dislike ratio difference. Now that people voted for him and they're getting screwed over I could see a major difference. They must've came back and changed their like to dislikes. LMFAO DUMBASSES",0,false,0,,,,,,
z12ht3bzptfcxhusf22btptj4vnwfd0xq04,Noah Shaw,1 month ago,1491606984236,where are the sjw comments now that he won? huh,0,false,0,,,,,,
z12eedixxtzjy3ri004cj3yhcpywilk5aro0k,Cheila the Cat,1 month ago,1491606984239,"Now the poor who voted for Donald is going to suffer from the new medical plan! and the rich get richer, but you like that, right guys?",0,false,0,,,,,,
z13edbhatrmnv32bu04cgxagymfbjh0a420,Beth N Mike Jones,2 months ago,1488928584241,"Wow,Trolls out hard on this video.",0,false,0,,,,,,
z12cxzyrtyqdwnavz23oi5lqdurwhfdfw,steven mays,2 months ago,1488928584247,and media made him look like what he isnt,0,false,0,,,,,,
z13edhiaxtuvj1odg23nunmwevi3gtpw004,Tony Karol,2 months ago,1488928584251,JESUS IS THE LORD,0,false,0,,,,,,
z12sdvwprzebiniur23ljlhq4mbazxick,Chester cleveland jr,3 months ago,1486509384256,PLEASE give me a break CLOWN!!!!!!,0,false,0,,,,,,
z131txijmp3pfxsjl04ci1vrmpn2vnp4vfw,jd lloyd,3 months ago,1486509384260,1 week people!!! President Donald Trump!!!!!!!!!!,0,false,0,,,,,,
