id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13tt1vycwmhv1ipb04cez5z5teowdzw2y00k,elgiv94,4 hours ago,1493057147052,"It upsets me when people blindly defend sandy hook and make you out to be an asshole for saying children weren't murdered, and then the same people won't even begin to investigate the high profile personnel pedophiles and the ties and relations they have with other high profile people and organizations.",0,false,0,,,,,,
z12nthgg0wufhhaib04cfz0grlilhhqbghs,David Gonzalez,21 hours ago,1492995947055,"15:50 in

""Do we ban riding cars? It's the same thing"".

No doofus. They are not the same thing. Hand guns were made for only one purpose. To kill, and this is coming from someone who own's licensed hand guns.",0,false,0,,,,,,
z120dnmjuzvihpmsn23wthwi3oelcnjx304,Jamison Cheney,1 day ago,1492985147058,Alex apologized for #pizzagate and now Sandy hook? Is he auditioning for FOX NEWS???,0,false,0,,,,,,
z130wtghgprqh1g3y23uhdybusjaghm4f04,brian poole,1 day ago,1492985147061,"to use a poker analogy, Alex, just raised on the fake stream media!....",0,false,0,,,,,,
z12sd5lyhzjksztc5232ed3avliawrasv,Master Volume,1 day ago,1492985147064,"Sometimes the argument works against itself. To criticize people for bring food into a crime scene,  but then to suggest they should be using the bathrooms inside and not porto-potties is contradicting. If you think they shouldn't bring food into a crime scene, they also shouldn't be going in to use the bathrooms.",0,false,0,,,,,,
z13qwp3zzremttroi04cdjf4goihynioz4k,CYBOPOD,1 day ago,1492985147067,I can you fake something like this.. and why?,0,false,0,,,,,,
z12idhtzwqradraxd04cjvuoqpzeftlxuis,AustinoTheGr8,1 day ago,1492985147069,I almost don't want to call Robbie Parker a scumbag because I really do not know what happened at Sandy Hook... But damn the odds are stacking up against his lying ass.,0,false,0,,,,,,
z13pdtxb0uajctvm2225zx3azxidun2hr04,Bibleimploder,1 day ago,1492985147072,Alex Shill'fo-wars,0,false,0,,,,,,
z12nj5pbswmdena4p04ccrzogvzptbegdqw0k,Bibleimploder,1 day ago,1492985147075,"Alex you say in one segment ""You know you learn a lot running a major media operation like info-wars.""  You say MSN hits you on your ""strongest information."" Then you confess you know nothing by saying ""I don't know what happened there but it needs to be looked into? Which is it Alex? MSN hits you on your strongest information but you say your strongest information is not knowing what happened there. The day Sandy Hook happened you should have sent a Journalist to the crime scene. Then you would have known what happened. You boast Info-wars is a ""major media operation."" But you have no boots on the ground to investigate a scoop when it's actually taking place. Instead you wait for  all the major media stations you don't believe in, but watch, and then do a live stream calling what they reported a film hoax and call them fake news.",0,false,0,,,,,,
z12id14j0qupvdg3k225zx3azxidun2hr04,Bibleimploder,1 day ago,1492985147077,Alex maybe you can convince Trump to burn Caveman bone broth and not coal for alternative energy. Burning cow bones won't produce aquatic life killing acid rain like burning coal does.,0,false,0,,,,,,
