id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13zcdnynufnvz4aj04cjfnwrry1dtkoug4,FBE,1 week ago,1493596215883,"Thanks for watching this episode of Kids React! What should we have the Kids react to next? Let us know in the comments! Note to Subscribers: YouTube is having issues sending videos to your homepage. If you want to get notified when we upload a video, hit the “bell” 🔔  icon above and you can get more regular phone or email notifications. - FBE Team",1267,true,393,,,,,,
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154047835794,Pikachu4ever!,1 week ago,1493596221691,"FBE 
Hello!",3
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154050309493,Punished Venom Naked Snake Le Big Boss,1 week ago,1493596221693,FBE College Kids React To Pink Floyd,5
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154086709464,Marvin Jonassson,1 week ago,1493596221695,FBE Sup,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154099624823,Alex Zimmer,1 week ago,1493596221696,KIDS REACT TO GABE THE DOG,11
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154168831861,Carla Urrutia,1 week ago,1493596221699,FBE okayy😟😂😍😂,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154203650841,Alli Extra,1 week ago,1493596221701,React to zara larsson,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154257611488,Never Miss Watching Videos,1 week ago,1493596221703,FBE Teens react to Tinashe,3
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154268026611,Dino_Vlogs !,1 week ago,1493596221705,FBE  Hai early squad wassup  YOu guys are awesome I'll give all the support I can!,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154292804415,Wacky Woodward,1 week ago,1493596221707,FBE hi,2
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154356942737,Black Note Ghoul,1 week ago,1493596221709,FBE kids react to different  sushi,2
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154370649262,Dani v:,1 week ago,1493596221711,FBE React to Fall Out Boy,2
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154400350595,Vetleks,1 week ago,1493596221713,FBE Kids react to Rammstein please!,3
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154466595109,Vetleks,1 week ago,1493596221715,FBE Elders react to PANTERA! !!!,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154480670168,Evert De Rijke,1 week ago,1493596221717,FBE Please do a kids/teens/college reactions to Tourist LeMC En Route.,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154511188472,Odhran Horgan,1 week ago,1493596221719,FBE plz do teens react to 13 reasons why,12
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154532504666,Phoenix Cross,1 week ago,1493596221721,FBE kids react super sentai and Kamen rider,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154638686926,TheFilmExpert123,1 week ago,1493596221724,FBE React to The Hottest Band In The World KISS. Please.,2
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154650138613,Legit as Lightning,1 week ago,1493596221725,FBE teens react to or kids react to 13 reasons why!!,11
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154725499834,Bella clarkson,1 week ago,1493596221727,FBE Try not to yawn challenge,4
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154740575065,Scorpion Kid,1 week ago,1493596221729,FBE teens react to Supernatural,4
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154776857005,res20stupid,1 week ago,1493596221731,Can we see either Teens or Adults react to North Koreans Try American BBQ?,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154852270185,Emma Bush,1 week ago,1493596221733,do kids react to pentatonix...,2
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493154924882092,Katie S,1 week ago,1493596221736,FBE not sing to Disney songs,3
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155083149293,Fifasam77 :D,1 week ago,1493596221737,FBE do adults react to five minutes crafts,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155103326089,stijn mensink,1 week ago,1493596221739,FBE react to bruno mars,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155114054354,Kookie Lover For Life,1 week ago,1493596221741,"FBE can kids watch Bts run, butterfly, young forever.",1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155231183584,Matt kid,1 week ago,1493596221743,FBE Kids react to Alex Jones please!!!,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155278326665,Chumly Martinez,1 week ago,1493596221745,FBE teens react to dashiegames,3
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155283452816,Harley Quinn,1 week ago,1493596221747,Kids react to KISS,4
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155343152775,K 1400,1 week ago,1493596221749,FBE TRY NOT TO SING,4
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155384456816,Gamer_Shrimp 88,1 week ago,1493596221752,Lucas is so adorable ahaha,5
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155490775691,The Boss Gamer,1 week ago,1493596221753,FBE they should try to smile a whole video,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155567195790,Keira Cranstone,1 week ago,1493596221755,"FBE kids react to British youtubers ( LDShadowlady, Yammy xox, The Orion sound, SmallishBeans and Seepeakay) xx",1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155597460495,Sorry for the cringe,1 week ago,1493596221757,FBE I got 0,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155629863168,Íris Vilariça,1 week ago,1493596221760,FBE Elders react to Beard Growing Dance Challenge,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155786388137,Rachel Deaton,1 week ago,1493596221762,FBE teens react to Lana del Rey!!!!!,5
