id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13mgf0zqtzldz44g04cjfnwrry1dtkoug4,FBE,2 months ago,1488930575626,"Thanks for watching this episode of Kids React! What should we have the Kids react to next? Let us know in the comments! Note to Subscribers: YouTube is having issues sending videos to your homepage. If you want to get notified when we upload a video, hit the “bell” 🔔 icon above and you can get more regular phone or email notifications. -FBE Team",1366,true,379,,,,,,
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488751978981867,PatTheTwat,2 months ago,1488930580721,YESYESYES,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488751995612631,Chichopuente,2 months ago,1488930580723,FBE Pearl Jam!,16
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752000018259,Jonmikel Coyazo,2 months ago,1488930580725,FBE react to kiss,18
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752005294553,Ani Rojas,2 months ago,1488930580727,kids react to the rolling stones!,18
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752006857866,Voltage A1ter,2 months ago,1488930580729,ac dc,26
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752033890690,i am not the letter E,2 months ago,1488930580732,FBE Teens react to The Smiths.,5
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752061937481,Abby,2 months ago,1488930580735,Yes Please!!!,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752068635852,shiva umesh,2 months ago,1488930580736,Ani Rojas I second that notion.,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752111519548,Manic Scorpio,2 months ago,1488930580738,FBE Do Gorillaz with whatever react group of your choice.,14
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752147876460,FalloutGamer767,2 months ago,1488930580740,FBE Van Halen definitely,10
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752151601202,FBE,2 months ago,1488930580742,It's something we're considering. - FBE Team,8
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752167851385,HurriShane00,2 months ago,1488930580745,Kid react to Motley Crue,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752173306104,caleb gatten,2 months ago,1488930580747,Kids react to slip knot,11
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752180889375,storm blaze,2 months ago,1488930580749,FBE KIDS REACT ZZ TOP PLEASE,11
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752185615757,Sunsetbagel777,2 months ago,1488930580751,FBE DO KIDS REACT TO POKEMON SUN AND MOON!!!!!!!!!!!!!!!!!,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752195994192,Sunsetbagel777,2 months ago,1488930580752,FBE DO KIDS REACT TO POKEMON SUN AND MOON!!!!!!!!!!!!!!!!!,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752207073594,basher214,2 months ago,1488930580756,FBE react to the dancing goalie,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752261891770,God hates Zoethelittlefluck,2 months ago,1488930580759,FBE kids react to Marilyn manson,15
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752270455402,Kamina's Army,2 months ago,1488930580762,FBE these are so fun to watch!,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752300961725,Grace Hodson,2 months ago,1488930580764,FBE Kids meet Poppy,7
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752323392644,josef the suiside joker,2 months ago,1488930580766,FBE kids react to Lego batman 3 movie trailer PLZ,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752332381890,kpoca91,2 months ago,1488930580769,Please have any group  react to George Michael,2
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752333861457,Kyla Blackburn,2 months ago,1488930580772,FBE Do more Teens,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752334707332,Stef Berkenbos,2 months ago,1488930580774,FBE kids react to beartooth lines,2
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752339078272,Crazy Skywalker,2 months ago,1488930580776,Kids react to 90's grunge (clothes/music/icons),10
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752355154081,Juan Gonzalez,2 months ago,1488930580780,FBE  IRON MAIDEN!,33
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752362410118,tool26,2 months ago,1488930580783,"FBE Now that GnR's Appetite for Destruction has a FBE video about that album's 30th aniversary, a video will also be made about the 30th aniversary of Def Leppard's Hysteria one of a kind album, right ?",5
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752364887699,techno639,2 months ago,1488930580785,FBE Kids react to Teen titans 2003,5
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752371478965,iri b,2 months ago,1488930580787,FBE Queen next pleaseee,12
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752398227212,Mariana Suarez Canto,2 months ago,1488930580789,FBE I have 10 and I love guns and Roses,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752404440561,FBE,2 months ago,1488930580794,"We did Elders React to Queen recently, you'd want to see the Kids do the same songs? - FBE Team",50
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752455388512,EuphoricPanda M,2 months ago,1488930580797,FBE Kids should react to John Lennon's songs.,7
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752476607271,Joshua Dougall,2 months ago,1488930580799,FBE react to disturbed,12
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752500759663,Daniel Orozco,2 months ago,1488930580801,FBE have kids or teens react to KISS,14
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752520077932,George Mourão Silva,2 months ago,1488930580805,Teens or College Kids react to The Strokes!!,2
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752528210824,KillerAyano123_Aishi lol,2 months ago,1488930580818,FBE DO BRYAN ADAMS PLZ!!!!!,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752536866453,Pabloj_jobs,2 months ago,1488930580820,FBE react to red hot chili peppers,15
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752542678384,Brandon parkyn,2 months ago,1488930580822,FBE They should react to Alt-J or Gorrilaz,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752544588775,KillerAyano123_Aishi lol,2 months ago,1488930580824,FBE DO ANIME PLZ,4
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752549560659,EggRollian,2 months ago,1488930580828,FBE Yes we would very much love Queen.,8
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752551887450,James Pritchard,2 months ago,1488930580831,FBE react to monty python,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752572858348,Cassie Graham,2 months ago,1488930580832,"FBE 
Absolutely love this.",1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752575006212,Yeshua Navia,2 months ago,1488930580835,FBE ACDC,19
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752581898922,iri b,2 months ago,1488930580837,+FBE yesss please...,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752592340447,Sojy 37,2 months ago,1488930580839,sb should react to rage against the machine,7
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752617777642,Morgan Waller,2 months ago,1488930580841,FBE kids react to iron maiden,15
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752622503986,Slime Boy1,2 months ago,1488930580844,FBE kids react to Slime Boy1 but really I'm stupid in my videos,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752627255945,Billie Rose,2 months ago,1488930580847,FBE Elders react to Led Zepplin,21
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752647851067,The Black Queen,2 months ago,1488930580848,YES!!!!,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752670318026,Mr Zilla,2 months ago,1488930580852,FBE Kids react to Queen.,12
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752671794634,Klassy Klown,2 months ago,1488930580854,FBE KIDS REACT TO PINK FLOYD,32
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752675087191,fnafgamer 136,2 months ago,1488930580856,FBE Bendy and the Ink Machine or tattletail or fnaf sister location,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752713137560,Emma Hines,2 months ago,1488930580858,Kids react to alice cooper,10
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752750318509,Matheus Fernandes,2 months ago,1488930580860,Elders/teens/kids react to Ghost!!!!!,12
