id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13mfbmrusvkczrjd04cdpkgyojhzv2ovlw0k,Lola Ych,5 hours ago,1494184044921,Eugene x taco bell = yas,0,false,0,,,,,,
z12cjzqwmsmni10lw225fll5svn0vftta,Theodore Stagnum,5 hours ago,1494184044925,no shawarma???!?,0,false,0,,,,,,
z12btbqrymmxy10tp22luvbxutqctr1po04,Declan Timothy,9 hours ago,1494169644929,"""KFC! THERE, I SAID IT!""",0,false,0,,,,,,
z12dhf2otur2x5nrd04cfbmhdlfecvm5yuw0k,Charlotte Leblanc,11 hours ago,1494162444932,Ned is obviously drunk but it's like he has the munchies😂,0,false,0,,,,,,
z12rxvegwsfmudmv422kdnwodyysezouw,Pumpkin Red,17 hours ago,1494140844935,"um, CHIC FIL A? lol",0,false,0,,,,,,
z12gjvg4prbrgj00e23zjbvbukr1fvs3n,Yvellion,17 hours ago,1494140844938,I... I don't like fried chicken,0,false,0,,,,,,
z12kxdirdrrmyrxo504cebhizxfwhnhwhak,Elaina Swafford,19 hours ago,1494133644942,"""You don't know that!"" ""Yes I do! Ronald's my neighbor!""-Eugene",0,false,0,,,,,,
z124thm5lwj2v3quw22hftahvwbhe5kkl,cc104xo,20 hours ago,1494130044944,this is hilarious,0,false,0,,,,,,
z12yufrw3s2dyvbd323nv12itmadjdmif04,turtlebella,21 hours ago,1494126444948,Zach is a happy little elf when he's drunk,0,false,0,,,,,,
z13ljpnjtsy1ervlv23wd5vzcua4ijmqh04,Awkward Adriana,22 hours ago,1494122844951,"""we can't eat Pizza Hut without sauce""",0,false,0,,,,,,
z121d5kjtue4xlyvj23kwjww3ubls1irn04,Stephyweafy,23 hours ago,1494119244953,"""Better people, papa johns......NEXT""",0,false,0,,,,,,
z13rhhuxyuiazxe1v23wutziulf3wpqsj,liam_crinkles,1 day ago,1494115644956,I'm in tears 😂😂😂😂 One of the best videos. I love to see the try guys drunk 😂😂,0,false,0,,,,,,
z13jhdw5fxqetxoys04cfd5hzk2hcv1obcc,AGamerGoddess,1 day ago,1494115644959,I honestly think this is my favorite try guys video,0,false,0,,,,,,
z13yfr5wtoaktrthb04chrtxrzmqyjtxzdc,Yoni Fancy Pants,1 day ago,1494115644963,I want someone to talk about me like how Eugene talks about that taco.,0,false,0,,,,,,
z13ehfoiasvacn0fy23hev2ojyeiz1ejw04,LPSwolfygurl,1 day ago,1494115644965,When Keith got mad because there was no sauce I started crying😂😂😭,0,false,0,,,,,,
z12wejrhium5flj1w23qfbtwntifdpboe04,Jovan Aleksandrov,2 days ago,1494029244969,are they all gay? lol,0,false,0,,,,,,
z12ph5xhoofogfyl023mth3jzurzxbmb304,IWillGiveYouAHug,2 days ago,1494029244972,You know Eugene is fucked when he starts showing emotion,0,false,0,,,,,,
z13qib4ohzzhzt4fl22vcltj4mnpfpubt04,Rahaf,2 days ago,1494029244975,1:59 omg is it me or does keith sound like bianca del rio here,0,false,0,,,,,,
z13axjvojzf1htrob04cfblgtsybszzrplo0k,FreakShow25100,3 days ago,1493942844977,I need to get drunk with these guys.,0,false,0,,,,,,
