commentText,likes
You're not supposed to put cake in the refrigerator!,0
The fundamental problem is that birthday cakes are usually a social event where people expect similar slice sizes.,0
Cake is cake not a mathematical function,0
lol i  didnt think about beeing able to push the cake together,0
I was just crossing out redundant equation permutations on a proof of mine and it looked a lot like this. Putting lines through X's.,0
bruh,0
Impressive. It just goes to show what a group of scientists and mathematicians from Numberphile can discover for the first time.    ;),0
the pieces of the cake have no chance to get dry. I eat it... thats why they dont have a chance to get dry,0
the obvious way to skip all of that annoying situation is to eat the whole cake in one sitting,0
"The problem with this method is that your pieces all have different icing/cake ratios. The first slices will be bland with very little icing, and the final slices will be overly rich clumps of icing with small bits of cake attached.

A better solution would be to cut out normal slices but close it up around the cutout every time, leaving the opening on the other side where you don't get your cake from.",0
"""Gastronomic Pressure""
Never change, Numberphile.",0
I wanna eat a cake now!!!,0
"This is best left as a theory. The moment you take this to practicals, you will receive a practical whopping.",1
Everyone loves cake so much that Numberphile just HAD to make this video...,1
it annoys me that you keep putting the rubber band over and over again. just get rid of it.,0
"How does noone point out that the slices will be different? As you start cutting by the middle, the last slices will have a lot more frosting than the first ones, and that is much worse than having a dry slice",0
Does the way you cut the cake really matter...  i prefer triangles cause idk it looks better to me. But it doesn't really matter the cake is going to be gone within 1 hour anyways. It still goes into our mouths cause who doesn't like cake.,0
Cake? 🍰🍰🍰,0
wrong,0
"The problem I have with this is the rubber bands. You put the rubber bands on the cake then cut the cake with the bands still on them. Doing this it's inevitable to get tiny pieces of rubber band to break loose and embed itself in the frosting, this is especially so with a serrated knife. I'd prefer not to eat tiny pieces of rubber bands.",0
how is pushing 2 cake pieces together make it vacuum tight?,0
What is the formula for giving everyone equal amounts?,0
lol <3,0
"0:23 captions, okay, who put HTML 'i' tags in here?",0
What an utterly pointless science,0
Waste of rubberbands.,0
I thought the best way of doing it would be to slice the cake in half horizontally then take disc-shaped slices out.,0
I have to wonder why this is the most popular Numberphile video.,0
Am I a genius when I thought about the same solution?,0
and that's why we have cupcakes.,0
Or you could just eat all of the cake at once,0
"i always deal with the cake no more than 12 hours (doesn't matter how big it is), so .......",0
I'm desperate for cake right now.,0
I would just eat the whole cake,0
